REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1924,PEI,Oats,38,1140,78100,169100,68450,3004
1924,PEI,"Peas, dry",80,1000,100,200,100,8
1924,PEI,Tame hay,1.21,3300,337000,251900,102000,4090
1924,PEI,"Wheat, all",58,1260,14550,28600,11550,850
1924,QU,Barley,46,1275,64000,124000,50200,2939
1924,QU,"Beans, all dry (white and coloured)",110,1130,6850,15000,6050,753
1924,QU,Buckwheat,46,1305,81450,154000,62300,3742
1924,QU,Corn for grain,60,1715,21800,31400,12700,1303
1924,QU,Corn for silage,0.56,20970,780000,92000,37200,4360
1924,QU,Flaxseed,90,520,600,2800,1150,54
1924,QU,Mixed grains,44,1380,62600,112000,45300,2762
1924,QU,Oats,41,1055,785200,1838000,743800,32584
1924,QU,"Peas, dry",92,1035,16750,40000,16200,1540
1924,QU,"Rye, all",55,945,5000,13000,5300,275
1924,QU,Tame hay,1.21,3390,5559000,4052500,1640000,67306
1924,QU,"Wheat, all",61,1105,30800,69000,27900,1879
1924,SK,Barley,29,980,378000,953900,386000,10937
1924,SK,"Beans, all dry (white and coloured)",70,570,200,900,350,14
1924,SK,Corn for silage,0.65,713,251000,87100,35200,1640
1924,SK,Flaxseed,77,415,155400,927100,375000,11932
1924,SK,Mixed grains,28,1125,13400,29500,11900,375
1924,SK,Oats,28,750,1501000,4942500,2000000,41858
1924,SK,"Peas, dry",72,1250,750,1600,600,54
1924,SK,"Rye, all",37,890,64000,178100,72000,2382
1924,SK,"Rye, fall remaining",37,1095,47000,,,1744
1924,SK,"Rye, spring",38,585,17000,72100,29000,638
1924,SK,Tame hay,0.98,3130,376000,303900,120000,3668
1924,SK,"Wheat, all",44,685,3617000,13033000,5274000,160831
1925,AB,Barley,20,1385,245000,436800,177000,4836
1925,AB,"Beans, all dry (white and coloured)",73,1500,150,300,100,11
1925,AB,Corn for silage,0.91,4670,14000,7300,3000,127
1925,AB,Flaxseed,70,300,2100,17800,7000,148
1925,AB,Mixed grains,20,960,2300,5900,2400,47
1925,AB,Oats,21,1180,906000,1899500,769000,18758
1925,AB,"Peas, dry",54,1000,700,1700,700,38
1925,AB,"Rye, all",27,725,22500,78800,31000,599
1925,AB,"Rye, fall remaining",27,650,13000,,,350
1925,AB,"Rye, spring",26,865,9500,28300,11000,249
1925,AB,Sugar beets,0.65,17100,37600,5394,2200,245
1925,AB,Tame hay,1.43,2430,194000,185900,80000,2783
1925,AB,"Wheat, all",44,1230,2666000,5348000,2164000,116735
1925,BC,Barley,43,1600,4000,6100,2500,173
1925,BC,"Beans, all dry (white and coloured)",109,1375,550,1000,400,60
1925,BC,Corn for silage,1.06,25380,66000,6400,2600,701
1925,BC,Flaxseed,73,600,300,1200,500,22
1925,BC,Mixed grains,44,1750,2800,3900,1600,124
1925,BC,Oats,42,1400,43300,76400,30900,1798
1925,BC,"Peas, dry",91,1600,1600,2500,1000,146
1925,BC,"Rye, all",44,905,2900,7800,3200,128
1925,BC,Tame hay,2.1,4670,341000,180500,73000,7159
1925,BC,"Wheat, all",53,1505,29200,48000,19400,1533
1925,CA,Barley,24,1330,1896450,3523900,1426250,46014
1925,CA,"Beans, all dry (white and coloured)",95,1240,40850,81500,32900,3877
1925,CA,Buckwheat,39,1195,229600,474100,191900,8965
1925,CA,Corn for grain,37,2775,268000,238800,96500,9939
1925,CA,Corn for silage,0.44,20280,4256000,518700,209850,18911
1925,CA,Flaxseed,73,465,158400,842500,340550,11542
1925,CA,Mixed grains,32,1940,675650,860300,348100,21432
1925,CA,Oats,27,1220,6204600,12555700,5081200,167171
1925,CA,"Peas, dry",60,1255,92900,183000,74000,5616
1925,CA,"Rye, all",30,900,232800,643000,259050,7048
1925,CA,"Rye, fall remaining",31,910,199400,,,6113
1925,CA,"Rye, spring",28,845,33400,98300,39500,935
1925,CA,Sugar beets,0.67,23800,416100,43112,17500,2794
1925,CA,Tame hay,1.17,3640,15009000,10199800,4129000,175006
1925,CA,"Wheat, all",45,1280,10762900,20789800,8412500,487736
1925,MA,Barley,22,1280,854000,1645200,666000,19063
1925,MA,Buckwheat,40,555,2100,9400,3800,84
1925,MA,Corn for silage,0.89,8530,58000,16800,6800,518
1925,MA,Flaxseed,74,595,28600,118900,48000,2122
1925,MA,Mixed grains,21,1095,4600,10300,4200,97
1925,MA,Oats,22,1175,773000,1623200,657000,17385
1925,MA,"Peas, dry",54,1750,700,1100,400,38
1925,MA,"Rye, all",30,810,83200,253500,102500,2479
1925,MA,"Rye, fall remaining",30,810,76000,,,2268
1925,MA,"Rye, spring",29,845,7200,21000,8500,211
1925,MA,Tame hay,1.06,2770,194000,177700,70000,2066
1925,MA,"Wheat, all",45,1190,915000,1902700,770000,40940
1925,MP,Barley,43,1415,9850,17000,6950,421
1925,MP,Mixed grains,33,1655,19850,29700,12000,652
1925,MP,Oats,38,1210,250000,511300,206900,9468
1925,MP,Tame hay,1.14,3840,2019000,1300300,526000,23019
1925,MP,"Wheat, all",58,1195,25900,53700,21700,1504
1925,NB,Barley,35,1345,3300,6000,2450,114
1925,NB,"Beans, all dry (white and coloured)",98,1085,650,1500,600,64
1925,NB,Buckwheat,37,1385,25100,44800,18150,934
1925,NB,Corn for silage,0.44,22860,32000,3500,1400,140
1925,NB,Mixed grains,44,1460,1900,3200,1300,83
1925,NB,Oats,39,1150,105100,225400,91200,4088
1925,NB,"Peas, dry",102,865,650,1900,750,66
1925,NB,"Rye, all",50,1000,100,200,100,5
1925,NB,Tame hay,1.26,3900,865000,548400,222000,10899
1925,NB,"Wheat, all",67,1140,6150,13400,5400,415
1925,NS,Barley,51,1480,3850,6400,2600,197
1925,NS,"Beans, all dry (white and coloured)",134,1135,850,1800,750,114
1925,NS,Buckwheat,46,1150,3500,7500,3050,160
1925,NS,Corn for silage,0.44,22220,10000,1100,450,44
1925,NS,Mixed grains,49,1655,2650,3900,1600,131
1925,NS,Oats,49,1260,59800,117200,47450,2912
1925,NS,"Peas, dry",80,1600,400,600,250,32
1925,NS,"Rye, all",30,2000,100,100,50,3
1925,NS,Tame hay,1.02,4050,822000,502500,203000,8365
1925,NS,"Wheat, all",63,1210,4650,9500,3850,292
1925,ON,Barley,31,1840,324800,436400,176600,10070
1925,ON,"Beans, all dry (white and coloured)",90,1270,31400,61100,24700,2840
1925,ON,Buckwheat,34,1165,121450,257900,104400,4098
1925,ON,Corn for grain,35,2940,247000,207800,84000,8763
1925,ON,Corn for silage,0.4,21720,3279000,373100,151000,13228
1925,ON,Flaxseed,75,785,3100,9800,3950,232
1925,ON,Mixed grains,31,2090,576500,681600,275800,17697
1925,ON,Oats,28,1585,1821400,2837400,1148300,51288
1925,ON,"Peas, dry",51,1315,70950,133400,54000,3592
1925,ON,"Rye, all",32,1135,45300,98700,39900,1445
1925,ON,Sugar beets,0.67,24700,378500,37718,15300,2549
1925,ON,Tame hay,1.33,3630,6016000,4094600,1657000,79719
1925,ON,"Wheat, all",45,1975,686400,860400,347900,30649
1925,ON,"Wheat, spring",45,1445,66400,113300,45900,3004
1925,ON,"Wheat, winter remaining",45,2055,620000,,,27644
1925,PP,Barley,22,1255,1493000,2940400,1190000,32344
1925,PP,Corn for silage,0.93,6380,113000,43800,17700,1047
1925,PP,Flaxseed,73,460,154400,828900,335000,11221
1925,PP,Mixed grains,22,1010,13100,32100,13000,286
1925,PP,Oats,22,1105,3257000,7274600,2944000,71671
1925,PP,"Peas, dry",58,1380,2350,4400,1700,137
1925,PP,"Rye, all",29,850,178400,523200,210500,5141
1925,PP,Sugar beets,0.65,17100,37600,5394,2200,245
1925,PP,Tame hay,1.23,2550,510000,490300,200000,6270
1925,PP,"Wheat, all",45,1250,9989000,19759600,7996000,451956
1925,PEI,Barley,41,1420,2700,4700,1900,110
1925,PEI,Buckwheat,39,1350,1350,2500,1000,52
1925,PEI,Corn for silage,0.5,1667,5000,800,300,25
1925,PEI,Mixed grains,29,1680,15300,22500,9100,438
1925,PEI,Oats,29,1245,85100,168700,68250,2468
1925,PEI,"Peas, dry",60,1000,100,200,100,6
1925,PEI,Tame hay,1.13,3290,332000,249400,101000,3755
1925,PEI,"Wheat, all",53,1215,15100,30800,12450,798
1925,QU,Barley,46,1290,64800,124000,50200,3006
1925,QU,"Beans, all dry (white and coloured)",110,1130,6850,15000,6050,753
1925,QU,Buckwheat,48,1235,76100,152000,61500,3636
1925,QU,Corn for grain,56,1680,21000,31000,12500,1176
1925,QU,Corn for silage,0.5,20630,751000,90000,36400,3726
1925,QU,Flaxseed,112,545,600,2700,1100,67
1925,QU,Mixed grains,42,1385,63400,113000,45700,2673
1925,QU,Oats,40,1110,832900,1856000,751100,32946
1925,QU,"Peas, dry",97,1040,16850,40000,16200,1637
1925,QU,"Rye, all",54,1130,6000,13000,5300,326
1925,QU,Tame hay,0.96,3660,6123000,4134000,1673000,58839
1925,QU,"Wheat, all",65,1180,32400,68000,27500,2094
1925,SK,Barley,21,1135,394000,858400,347000,8445
1925,SK,"Beans, all dry (white and coloured)",88,1335,400,800,300,35
1925,SK,Corn for silage,0.98,519,41000,19600,7900,402
1925,SK,Flaxseed,72,440,123700,692100,280000,8951
1925,SK,Mixed grains,23,970,6200,15900,6400,142
1925,SK,Oats,23,1040,1578000,3751800,1518000,35528
1925,SK,"Peas, dry",64,1585,950,1600,600,61
1925,SK,"Rye, all",28,945,72700,190800,77000,2063
1925,SK,"Rye, fall remaining",28,980,56000,,,1588
1925,SK,"Rye, spring",28,835,16700,49000,20000,475
1925,SK,Tame hay,1.16,2440,122000,126600,50000,1421
1925,SK,"Wheat, all",46,1265,6408000,12509000,5062000,294281
1926,AB,Barley,19,1185,199000,415700,168000,3841
1926,AB,"Beans, all dry (white and coloured)",107,1000,150,400,150,16
1926,AB,Corn for silage,0.82,5750,23000,9900,4000,188
1926,AB,Flaxseed,60,420,2100,11900,5000,125
1926,AB,Mixed grains,26,1500,5100,8300,3400,134
1926,AB,Oats,25,1145,886000,1916000,775000,21842
1926,AB,"Peas, dry",80,1125,450,1100,400,36
1926,AB,"Rye, all",27,740,34800,114500,47000,934
1926,AB,"Rye, fall remaining",27,740,23000,,,619
1926,AB,"Rye, spring",27,740,11800,38500,16000,315
1926,AB,Sugar beets,0.85,16100,33800,5103,2100,288
1926,AB,Tame hay,1.32,4460,312000,180500,70000,4106
1926,AB,"Wheat, all",39,1245,3102000,6161400,2493000,119686
1926,BC,Barley,39,1585,4600,7100,2900,178
1926,BC,"Beans, all dry (white and coloured)",98,1500,450,800,300,44
1926,BC,Corn for silage,0.97,23080,60000,6400,2600,581
1926,BC,Flaxseed,57,875,350,1000,400,20
1926,BC,Mixed grains,44,1860,3350,4500,1800,147
1926,BC,Oats,41,1370,45800,82500,33400,1872
1926,BC,"Peas, dry",83,1460,1750,2900,1200,146
1926,BC,"Rye, all",42,715,2000,7000,2800,84
1926,BC,Tame hay,1.82,4910,373000,187600,76000,6804
1926,BC,"Wheat, all",50,1635,35000,52800,21400,1749
1926,CA,Barley,24,1475,2177350,3647500,1475400,52059
1926,CA,"Beans, all dry (white and coloured)",97,1090,31500,71600,28850,3060
1926,CA,Buckwheat,40,1160,215150,457400,185100,8598
1926,CA,Corn for grain,39,2325,198500,209700,85300,7780
1926,CA,Corn for silage,0.54,19680,4073000,511100,207000,21926
1926,CA,Flaxseed,64,510,152300,738400,298500,9688
1926,CA,Mixed grains,32,1790,691600,955500,386550,22385
1926,CA,Oats,31,1145,5912200,12741300,5156500,184098
1926,CA,"Peas, dry",64,1220,71750,145100,58800,4610
1926,CA,"Rye, all",30,1010,309300,753800,306350,9431
1926,CA,"Rye, fall remaining",31,1035,261400,,,8064
1926,CA,"Rye, spring",29,880,47900,132800,54300,1367
1926,CA,Sugar beets,0.73,24400,461100,46697,18900,3350
1926,CA,Tame hay,1.35,3490,14624000,10352600,4187000,197887
1926,CA,"Wheat, all",40,1195,11080950,22895600,9265650,442221
1926,MA,Barley,23,1555,1108000,1760600,712000,24931
1926,MA,Buckwheat,36,845,4300,12700,5100,156
1926,MA,Corn for silage,0.72,14520,90000,15400,6200,644
1926,MA,Flaxseed,64,660,52100,195400,79000,3323
1926,MA,Mixed grains,24,1535,6900,11200,4500,168
1926,MA,Oats,28,1215,814000,1654500,670000,22695
1926,MA,"Peas, dry",69,1100,550,1200,500,38
1926,MA,"Rye, all",30,995,90700,225500,91300,2700
1926,MA,"Rye, fall remaining",30,1000,81000,,,2418
1926,MA,"Rye, spring",29,940,9700,25400,10300,282
1926,MA,Tame hay,1.11,3900,312000,206000,80000,3471
1926,MA,"Wheat, all",40,1520,1283000,2085500,844000,51375
1926,MP,Barley,49,1430,10850,18900,7600,532
1926,MP,Mixed grains,39,1775,20650,28900,11650,803
1926,MP,Oats,44,1155,224100,479200,194000,9930
1926,MP,Tame hay,1.3,3510,1893000,1333100,539000,24564
1926,MP,"Wheat, all",57,1175,24250,51000,20650,1390
1926,NB,Barley,43,1115,2950,6600,2650,126
1926,NB,"Beans, all dry (white and coloured)",142,910,500,1300,550,71
1926,NB,Buckwheat,41,1115,20500,45500,18400,837
1926,NB,Corn for silage,0.45,21250,34000,4000,1600,152
1926,NB,Mixed grains,41,1610,1850,2900,1150,76
1926,NB,Oats,46,955,78950,204700,82850,3634
1926,NB,"Peas, dry",84,835,500,1500,600,42
1926,NB,"Rye, all",60,1000,100,300,100,6
1926,NB,Tame hay,1.18,3270,738000,559000,226000,8740
1926,NB,"Wheat, all",65,1115,4900,10900,4400,320
1926,NS,Barley,58,1475,4200,7100,2850,243
1926,NS,"Beans, all dry (white and coloured)",161,1065,800,1900,750,129
1926,NS,Buckwheat,55,1230,3750,7500,3050,208
1926,NS,Corn for silage,0.44,18000,9000,1200,500,40
1926,NS,Mixed grains,46,1555,2800,4400,1800,129
1926,NS,Oats,51,1285,59350,114000,46150,3014
1926,NS,"Peas, dry",120,1165,350,700,300,42
1926,NS,"Rye, all",40,2000,100,100,50,4
1926,NS,Tame hay,1.46,3630,766000,522100,211000,11183
1926,NS,"Wheat, all",58,1125,4050,8900,3600,235
1926,ON,Barley,31,1730,314500,449100,181700,9754
1926,ON,"Beans, all dry (white and coloured)",93,1065,22300,51700,20900,2081
1926,ON,Buckwheat,36,1140,108300,234900,95100,3882
1926,ON,Corn for grain,37,2395,175000,179300,73000,6473
1926,ON,Corn for silage,0.52,21290,3172000,367800,149000,16646
1926,ON,Flaxseed,83,630,1950,7700,3100,161
1926,ON,Mixed grains,31,1870,583300,771000,312000,18232
1926,ON,Oats,34,1290,1476200,2831800,1146000,49644
1926,ON,"Peas, dry",54,1290,51150,97900,39600,2755
1926,ON,"Rye, all",35,1090,38100,86400,35000,1351
1926,ON,Sugar beets,0.72,25400,427300,41594,16800,3062
1926,ON,Tame hay,1.42,3850,6431000,4132200,1672000,91315
1926,ON,"Wheat, all",46,1685,628900,922500,373700,28888
1926,ON,"Wheat, spring",48,1260,58900,115500,46700,2835
1926,ON,"Wheat, winter remaining",46,1745,570000,,,26053
1926,PP,Barley,22,1445,1784000,3048400,1233000,38623
1926,PP,Corn for silage,0.84,9140,159000,43000,17400,1342
1926,PP,Flaxseed,63,510,149300,727200,294000,9438
1926,PP,Mixed grains,26,1430,20900,36100,14600,533
1926,PP,Oats,27,1120,3399000,7491900,3032000,90818
1926,PP,"Peas, dry",70,1095,1750,4000,1600,123
1926,PP,"Rye, all",29,1000,263900,647500,263300,7670
1926,PP,Sugar beets,0.85,16100,33800,5103,2100,288
1926,PP,Tame hay,1.14,3810,801000,524500,210000,9167
1926,PP,"Wheat, all",39,1175,10363000,21805300,8824000,408279
1926,PEI,Barley,44,1760,3700,5200,2100,163
1926,PEI,Buckwheat,40,1610,1850,2900,1150,74
1926,PEI,Corn for silage,0.38,1333,4000,800,300,15
1926,PEI,Mixed grains,37,1840,16000,21600,8700,598
1926,PEI,Oats,38,1320,85800,160600,65000,3282
1926,PEI,"Peas, dry",80,1000,100,200,100,8
1926,PEI,Tame hay,1.19,3810,389000,252000,102000,4641
1926,PEI,"Wheat, all",55,1210,15300,31200,12650,835
1926,QU,Barley,47,1265,63400,124000,50200,2972
1926,QU,"Beans, all dry (white and coloured)",100,1180,6950,14600,5900,694
1926,QU,Buckwheat,45,1225,76450,154000,62300,3441
1926,QU,Corn for grain,56,1910,23500,30400,12300,1307
1926,QU,Corn for silage,0.5,17840,635000,88000,35600,3150
1926,QU,Flaxseed,99,700,700,2500,1000,69
1926,QU,Mixed grains,42,1365,63400,115000,46500,2670
1926,QU,Oats,41,1020,767100,1856000,751100,31834
1926,QU,"Peas, dry",93,1050,16150,38000,15400,1494
1926,QU,"Rye, all",62,1000,5100,12500,5100,316
1926,QU,Tame hay,1.29,3030,5126000,4175200,1690000,66037
1926,QU,"Wheat, all",64,1150,29800,64000,25900,1915
1926,SK,Barley,21,1350,477000,872100,353000,9851
1926,SK,"Beans, all dry (white and coloured)",71,1165,350,800,300,25
1926,SK,Corn for silage,1.11,639,46000,17700,7200,510
1926,SK,Flaxseed,63,455,95100,520000,210000,5990
1926,SK,Mixed grains,26,1330,8900,16600,6700,231
1926,SK,Oats,27,1070,1699000,3921500,1587000,46281
1926,SK,"Peas, dry",65,1070,750,1800,700,49
1926,SK,"Rye, all",29,1105,138400,307500,125000,4036
1926,SK,"Rye, fall remaining",29,1155,112000,,,3266
1926,SK,"Rye, spring",29,945,26400,68900,28000,770
1926,SK,Tame hay,0.9,2950,177000,138000,60000,1590
1926,SK,"Wheat, all",40,1090,5978000,13558400,5487000,237218
1927,AB,Barley,27,1610,261000,400000,162000,6960
1927,AB,"Beans, all dry (white and coloured)",100,1000,100,300,100,10
1927,AB,Corn for silage,0.74,12130,74000,15000,6100,547
1927,AB,Flaxseed,63,1020,5100,12600,5000,323
1927,AB,Mixed grains,26,1565,9700,15400,6200,252
1927,AB,Oats,29,1715,1560000,2248000,910000,44510
1927,AB,"Peas, dry",80,1165,700,1400,600,56
1927,AB,"Rye, all",30,1265,79600,156500,63000,2436
1927,AB,"Rye, fall remaining",30,1265,48000,,,1452
1927,AB,"Rye, spring",31,1265,31600,62300,25000,984
1927,AB,Sugar beets,0.9,17100,30800,4390,1800,277
1927,AB,Tame hay,1.19,5080,661000,329000,130000,7834
1927,AB,"Wheat, all",36,1845,4662000,6251000,2530000,168003
1927,BC,Barley,41,1825,6200,8400,3400,257
1927,BC,"Beans, all dry (white and coloured)",98,1500,450,700,300,44
1927,BC,Corn for silage,0.83,26150,68000,6500,2600,563
1927,BC,Flaxseed,60,1285,450,900,350,27
1927,BC,Mixed grains,44,1855,3800,5100,2050,167
1927,BC,Oats,42,1925,67400,86500,35000,2841
1927,BC,"Peas, dry",83,1625,1950,3000,1200,162
1927,BC,"Rye, all",41,1345,3900,7200,2900,158
1927,BC,Tame hay,1.77,5190,410000,194000,79000,7270
1927,BC,"Wheat, all",48,1800,41000,56300,22800,1973
1927,CA,Barley,30,1485,2110200,3505700,1419100,64193
1927,CA,"Beans, all dry (white and coloured)",86,1045,28150,66800,26950,2408
1927,CA,Buckwheat,41,1245,237100,471300,190650,9727
1927,CA,Corn for grain,39,2010,108000,131600,53700,4212
1927,CA,Corn for silage,0.49,16890,3219000,471600,190550,15849
1927,CA,Flaxseed,61,645,124100,475900,192150,7562
1927,CA,Mixed grains,35,1890,767850,1004500,406350,27001
1927,CA,Oats,33,1265,6780750,13240000,5358400,225879
1927,CA,"Peas, dry",65,1245,76050,150800,61100,4959
1927,CA,"Rye, all",32,1315,395400,743300,300650,12746
1927,CA,"Rye, fall remaining",32,1325,316300,,,10278
1927,CA,"Rye, spring",31,1270,79100,155100,62300,2467
1927,CA,Sugar beets,0.86,19300,335600,42893,17400,2881
1927,CA,Tame hay,1.17,3930,17714000,11137100,4504000,206781
1927,CA,"Wheat, all",37,1435,13054850,22460200,9089650,477791
1927,MA,Barley,29,1305,799000,1512500,612000,23499
1927,MA,Buckwheat,45,760,2500,8100,3300,113
1927,MA,Corn for silage,0.77,13940,99000,17600,7100,763
1927,MA,Flaxseed,63,620,30400,122200,49000,1905
1927,MA,Mixed grains,37,1115,3900,8700,3500,143
1927,MA,Oats,32,635,397000,1544500,625000,12884
1927,MA,"Peas, dry",67,1375,550,1000,400,37
1927,MA,"Rye, all",33,1010,55800,136400,55300,1813
1927,MA,"Rye, fall remaining",33,1045,48000,,,1565
1927,MA,"Rye, spring",32,840,7800,23100,9300,248
1927,MA,Tame hay,0.84,4750,760000,391100,160000,6354
1927,MA,"Wheat, all",39,945,838000,2195400,888000,32619
1927,MP,Barley,50,1345,10500,19200,7800,523
1927,MP,Mixed grains,40,1545,17950,28700,11600,724
1927,MP,Oats,48,1070,206150,477100,193000,9929
1927,MP,Tame hay,1.28,3190,1709000,1322400,535000,21839
1927,MP,"Wheat, all",55,1005,18850,46200,18750,1031
1927,NB,Barley,48,1230,3200,6400,2600,153
1927,NB,"Beans, all dry (white and coloured)",176,1000,550,1400,550,97
1927,NB,Buckwheat,44,1090,19850,45100,18250,866
1927,NB,Corn for silage,0.45,18460,24000,3200,1300,108
1927,NB,Mixed grains,39,1175,1350,2800,1150,52
1927,NB,Oats,50,980,80600,203500,82350,4025
1927,NB,"Peas, dry",83,1200,600,1200,500,50
1927,NB,"Rye, all",50,1000,200,400,200,10
1927,NB,Tame hay,1.17,2870,646000,556100,225000,7533
1927,NB,"Wheat, all",60,965,3850,9900,4000,231
1927,NS,Barley,57,1485,4600,7700,3100,260
1927,NS,"Beans, all dry (white and coloured)",143,940,750,2000,800,107
1927,NS,Buckwheat,64,1140,3250,7100,2850,209
1927,NS,Corn for silage,0.42,20000,9000,1100,450,38
1927,NS,Mixed grains,54,1600,2800,4300,1750,151
1927,NS,Oats,55,1275,57500,111500,45100,3169
1927,NS,"Peas, dry",120,1000,300,700,300,36
1927,NS,"Rye, all",20,2000,100,100,50,2
1927,NS,Tame hay,1.43,3490,726000,513700,208000,10400
1927,NS,"Wheat, all",51,1210,3450,7000,2850,177
1927,ON,Barley,35,1800,375300,514800,208300,13101
1927,ON,"Beans, all dry (white and coloured)",82,1030,19700,47200,19100,1610
1927,ON,Buckwheat,36,1275,128300,249200,100800,4597
1927,ON,Corn for grain,36,2190,92000,102600,42000,3306
1927,ON,Corn for silage,0.44,17120,2260000,327000,132000,10014
1927,ON,Flaxseed,65,615,1750,7100,2850,114
1927,ON,Mixed grains,34,2015,651500,799300,323500,22343
1927,ON,Oats,36,1445,1571700,2689300,1088300,57072
1927,ON,"Peas, dry",55,1295,55400,105700,42800,3074
1927,ON,"Rye, all",37,1115,32700,72300,29300,1225
1927,ON,Sugar beets,0.85,19500,304800,38503,15600,2604
1927,ON,Tame hay,1.22,4250,7256000,4216400,1706000,88525
1927,ON,"Wheat, all",46,1685,594500,871000,352400,27394
1927,ON,"Wheat, spring",44,1355,65500,119600,48400,2890
1927,ON,"Wheat, winter remaining",46,1740,529000,,,24504
1927,PP,Barley,28,1435,1651000,2838300,1149000,47008
1927,PP,Corn for silage,0.79,12040,236000,48400,19600,1862
1927,PP,Flaxseed,61,645,121200,465500,188000,7355
1927,PP,Mixed grains,27,1365,29900,54400,21900,818
1927,PP,Oats,29,1250,4155000,8205100,3321000,120105
1927,PP,"Peas, dry",71,1295,2200,4200,1700,156
1927,PP,"Rye, all",31,1340,353100,651100,263300,11012
1927,PP,Sugar beets,0.9,17100,30800,4390,1800,277
1927,PP,Tame hay,0.99,4660,2142000,1145300,460000,21223
1927,PP,"Wheat, all",36,1425,12372000,21425700,8671000,445547
1927,PEI,Barley,41,1285,2700,5100,2100,110
1927,PEI,Buckwheat,50,1610,1850,2900,1150,93
1927,PEI,Corn for silage,0.4,2500,5000,500,200,20
1927,PEI,Mixed grains,38,1585,13800,21600,8700,521
1927,PEI,Oats,40,1040,68050,162000,65550,2735
1927,PEI,"Peas, dry",70,2000,100,100,50,7
1927,PEI,Tame hay,1.16,3300,337000,252500,102000,3906
1927,PEI,"Wheat, all",54,970,11550,29400,11900,623
1927,QU,Barley,49,1330,67200,125000,50600,3304
1927,QU,"Beans, all dry (white and coloured)",82,1080,6250,14300,5800,513
1927,QU,Buckwheat,47,1265,81350,159000,64300,3849
1927,QU,Corn for grain,57,1370,16000,29000,11700,906
1927,QU,Corn for silage,0.53,17940,617000,85000,34400,3244
1927,QU,Flaxseed,94,735,700,2400,950,66
1927,QU,Mixed grains,46,1370,64700,117000,47300,2949
1927,QU,Oats,46,1080,780500,1782000,721100,35932
1927,QU,"Peas, dry",95,1065,15500,36000,14550,1474
1927,QU,"Rye, all",63,1100,5400,12200,4900,338
1927,QU,Tame hay,1.1,3590,6197000,4259000,1724000,67924
1927,QU,"Wheat, all",65,1155,28500,61000,24700,1846
1927,SK,Barley,28,1575,591000,925900,375000,16549
1927,SK,"Beans, all dry (white and coloured)",77,1165,350,800,300,27
1927,SK,Corn for silage,0.88,984,63000,15800,6400,552
1927,SK,Flaxseed,60,640,85700,330700,134000,5127
1927,SK,Mixed grains,26,1335,16300,30200,12200,423
1927,SK,Oats,29,1230,2198000,4412600,1786000,62711
1927,SK,"Peas, dry",66,1355,950,1800,700,63
1927,SK,"Rye, all",31,1500,217700,358200,145000,6763
1927,SK,"Rye, fall remaining",31,1520,178000,,,5528
1927,SK,"Rye, spring",31,1420,39700,69800,28000,1235
1927,SK,Tame hay,0.98,4240,721000,425200,170000,7035
1927,SK,"Wheat, all",36,1310,6872000,12979300,5253000,244925
1928,AB,Barley,22,1560,345000,545500,221000,7449
1928,AB,"Beans, all dry (white and coloured)",80,1000,100,300,100,8
1928,AB,Corn for silage,0.82,11450,63000,13500,5500,518
1928,AB,Flaxseed,61,500,1500,6200,3000,92
1928,AB,Mixed grains,23,1455,8300,14100,5700,188
1928,AB,Oats,25,1435,1361000,2340300,947000,33538
1928,AB,"Peas, dry",71,1100,550,1300,500,39
1928,AB,"Rye, all",30,1045,68000,162600,65000,2075
1928,AB,"Rye, fall remaining",30,1000,39000,,,1186
1928,AB,"Rye, spring",31,1115,29000,65400,26000,889
1928,AB,Sugar beets,0.77,16200,34100,5181,2100,263
1928,AB,Tame hay,1.18,3830,536000,341400,140000,6333
1928,AB,"Wheat, all",28,1715,4654000,6707500,2714000,128511
1928,BC,Barley,41,1720,6700,9600,3900,272
1928,BC,"Beans, all dry (white and coloured)",90,1335,400,700,300,36
1928,BC,Corn for silage,0.85,27040,73000,6700,2700,624
1928,BC,Flaxseed,60,1000,300,700,300,18
1928,BC,Mixed grains,40,1800,3600,4900,2000,144
1928,BC,Oats,40,1850,67900,90800,36700,2731
1928,BC,"Peas, dry",85,1575,2050,3100,1300,175
1928,BC,"Rye, all",42,1295,3500,6700,2700,146
1928,BC,Tame hay,1.74,5300,435000,203800,82000,7586
1928,BC,"Wheat, all",44,1680,40300,59200,24000,1755
1928,CA,Barley,26,1505,2970150,4880700,1975200,76112
1928,CA,"Beans, all dry (white and coloured)",131,1120,31850,70300,28400,4184
1928,CA,Buckwheat,43,1165,237300,502700,203450,10128
1928,CA,Corn for grain,44,2345,132900,139200,56700,5860
1928,CA,Corn for silage,0.52,18640,3326000,440900,178400,17204
1928,CA,Flaxseed,63,600,91700,378100,153350,5758
1928,CA,Mixed grains,35,1780,798550,1107100,448050,27672
1928,CA,Oats,30,1310,6973350,13136500,5316000,210956
1928,CA,"Peas, dry",68,1125,70400,154500,62500,4786
1928,CA,"Rye, all",31,1095,371500,839600,338850,11491
1928,CA,"Rye, fall remaining",31,1090,272100,,,8531
1928,CA,"Rye, spring",30,1115,99400,221100,89200,2960
1928,CA,Sugar beets,0.8,18600,378800,50475,20400,3018
1928,CA,Tame hay,1.16,3710,16806000,11174700,4524000,194363
